Compare C:\Projects\Marilo\docs\component-specs with C:\Projects\blazor-docs\components
4/14/2026 9:30:23 AM
Filename,Folder,Comparison Result,Left Date,Right Date,Extension,Differences,Prediffer
wai-aria-support.md,dockmanager\accessibility,Text files are different,* 3/30/2026 2:06:21 PM,  3/29/2026 7:36:44 PM,md,5,
events.md,dockmanager,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,20,
overview.md,dockmanager,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,3,
wai-aria-support.md,drawer\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
data-bind.md,drawer,Text files are different,* 3/30/2026 2:11:49 PM,  3/29/2026 7:36:44 PM,md,3,
events.md,drawer,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
icons.md,drawer,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
modes.md,drawer,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
navigation.md,drawer,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,drawer,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
refresh-data.md,drawer,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,3,
wai-aria-support.md,dropdownbutton\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
appearance.md,dropdownbutton,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
icons.md,dropdownbutton,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,dropdownbutton,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,3,
wai-aria-support.md,dropdownlist\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,2,
appearance.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
data-bind.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
events.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,5,
overview.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,14,
refresh-data.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,5,
templates.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,4,
virtualization.md,dropdownlist,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,7,
wai-aria-support.md,dropdowntree\accessibility,Text files are different,* 3/30/2026 2:07:01 PM,  3/29/2026 7:36:44 PM,md,3,
flat-data.md,dropdowntree\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
